evaluation_id,session_id,task_id,agent,strategy,concern,layer,constraint_failed,metric_name,metric_value,metric_status,direction,metric_bad_outlier,classification
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-CONTRACT,backend,True,BE-CONTRACT-M-001-dto-validator-coverage,1.0,pass,higher_is_better,False,constraints_failed
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-DEP,backend,False,BE-DEP-M-001-dependency-violation-density,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-DOM,backend,True,BE-DOM-M-001-cross-module-deep-import-count,0.0,pass,lower_is_better,False,constraints_failed
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-DUP,backend,False,BE-DUP-M-001-clone-ratio,0.271414,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-ERR,backend,False,BE-ERR-M-001-exception-unification-violation-density,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-ROUTE,backend,False,BE-ROUTE-M-001-route-prefix-violation-ratio,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-SIZE,backend,False,BE-SIZE-M-001-cyclomatic-complexity-ratio,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-STRUCT,backend,False,BE-STRUCT-M-001-module-composition-violation-ratio,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,BE-TEST,backend,False,BE-MOCK-M-001-mock-per-test-case,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,CROSS-EP,cross-stack,False,CROSS-EP-M-001-endpoint-resolution-miss-ratio,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,CROSS-PROP,cross-stack,False,CROSS-PROP-M-001-propagation-incompleteness-ratio,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,CROSS-TYPE,cross-stack,False,CROSS-TYPE-M-001-contract-field-drift-density,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,FE-COM,frontend,False,FE-COM-M-001-render-decision-depth-average,0.5,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,FE-COMM,frontend,False,FE-COMM-M-001-prop-drilling-average,5.89,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,FE-DATA,frontend,False,FE-DATA-M-001-data-access-wrapping-ratio,1.0,pass,higher_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,FE-DUP,frontend,True,FE-DUP-M-001-clone-ratio,0.281479,pass,lower_is_better,False,constraints_failed
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,FE-ROUTE,frontend,False,FE-ROUTE-M-001-route-param-complexity,0.43,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,FE-STATE,frontend,False,FE-STATE-M-001-context-provider-ratio,0.058824,pass,lower_is_better,False,clean
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,FE-STYLE,frontend,False,FE-STYLE-M-001-style-mixing-ratio,0.048077,pass,lower_is_better,False,clean
session_20260817_130253/T2,session_20260817_130253,T2,claude,minimal,BE-CONTRACT,backend,True,BE-CONTRACT-M-001-dto-validator-coverage,1.0,pass,higher_is_better,False,constraints_failed
session_20260817_130253/T2,session_20260817_130253,T2,claude,minimal,BE-DEP,backend,False,BE-DEP-M-001-dependency-violation-density,0.0,pass,lower_is_better,False,clean
session_20260817_130253/T2,session_20260817_130253,T2,claude,minimal,BE-DOM,backend,True,BE-DOM-M-001-cross-module-deep-import-count,0.0,pass,lower_is_better,False,constraints_failed
session_20260817_130253/T2,session_20260817_130253,T2,claude,minimal,BE-DUP,backend,False,BE-DUP-M-001-clone-ratio,0.320605,pass,lower_is_better,False,clean
session_20260817_130253/T2,session_20260817_130253,T2,claude,minimal,BE-ERR,backend,False,BE-ERR-M-001-exception-unification-violation-density,0.0,pass,lower_is_better,False,clean
